#velocity	error_velocity	radius
106.22706642    38.682301379    2.676
106.21312742    38.677225528    2.677
106.19918544    38.672148595    2.678
106.18525238    38.667074906    2.679
106.17132342    38.662002714    2.68
106.15739332    38.656930106    2.681
106.14345614    38.65185492    2.682
106.12952308    38.64678123    2.683
106.11559891    38.641710785    2.684
106.1016647    38.636636679    2.685
106.08772638    38.631561076    2.686
106.07380108    38.626490214    2.687
106.05987577    38.621419352    2.688
106.0459475    38.616347408    2.689
106.03202105    38.61127613    2.69
106.0180946    38.606204851    2.691
106.00416519    38.601132491    2.692
105.99024468    38.596063375    2.693
105.97631115    38.590989518    2.694
105.96238356    38.585917822    2.695
105.94845893    38.580847209    2.696
105.93454139    38.575779173    2.697
105.92061677    38.570708559    2.698
105.90669808    38.565640107    2.699
105.89277529    38.560570158    2.7
105.87885957    38.555502787    2.701
105.8649338    38.550431757    2.702
105.85101694    38.545363969    2.703
105.83710008    38.540296182    2.704
105.82317911    38.535226898    2.705
105.80926225    38.53015911    2.706
105.79534425    38.525090907    2.707
105.78143333    38.520025282    2.708
105.76750824    38.5149545    2.709
105.75359914    38.509889539    2.71
105.73969416    38.504826076    2.711
105.72577501    38.499757456    2.712
105.71186888    38.494693577    2.713
105.69795271    38.489626038    2.714
105.68403539    38.484558083    2.715
105.67013223    38.479495284    2.716
105.65622084    38.474429491    2.717
105.64231654    38.469366277    2.718
105.62840219    38.464299403    2.719
105.61449788    38.459236188    2.72
105.60059541    38.454173638    2.721
105.58668699    38.449108926    2.722
105.57278155    38.444045295    2.723
105.55887496    38.438981248    2.724
105.54497659    38.433920196    2.725
105.53106589    38.428854651    2.726
105.51716935    38.423794263    2.727
105.5032687    38.418732378    2.728
105.48937102    38.413671574    2.729
105.47546328    38.408607111    2.73
105.46155852    38.403543729    2.731
105.44766678    38.398485087    2.732
105.43377206    38.393425364    2.733
105.41987917    38.388366306    2.734
105.40597738    38.383304005    2.735
105.39208746    38.378246029    2.736
105.37818749    38.373184392    2.737
105.3642946    38.368125335    2.738
105.35041062    38.36306952    2.739
105.33651362    38.358008965    2.74
105.32262256    38.352950573    2.741
105.3087315    38.34789218    2.742
105.29484341    38.342834868    2.743
105.28095829    38.337778638    2.744
105.26707316    38.332722408    2.745
105.25317685    38.327662102    2.746
105.23928761    38.322604374    2.747
105.22540135    38.317547728    2.748
105.21151508    38.312491082    2.749
105.19763476    38.307436598    2.75
105.18376151    38.302384692    2.751
105.1698741    38.29732763    2.752
105.15599674    38.292274227    2.753
105.14210819    38.287216749    2.754
105.12823381    38.282164428    2.755
105.11435531    38.277110609    2.756
105.10046676    38.272053131    2.757
105.08659716    38.267002557    2.758
105.0727246    38.261950901    2.759
105.05884199    38.256895585    2.76
105.0449724    38.251845011    2.761
105.03110875    38.246796599    2.762
105.017225    38.241740868    2.763
105.00335426    38.236689877    2.764
104.9894865    38.231639968    2.765
104.97561874    38.226590059    2.766
104.96174389    38.221537572    2.767
104.94787613    38.216487664    2.768
104.93400311    38.211435842    2.769
104.92014129    38.206388096    2.77
104.90627535    38.201338853    2.771
104.89241947    38.19629327    2.772
104.8785565    38.191245108    2.773
104.86468943    38.18619545    2.774
104.85082235    38.181145791    2.775
104.83696533    38.176099793    2.776
104.82311424    38.171055957    2.777
104.80924009    38.166003721    2.778
104.79539197    38.160960966    2.779
104.78152672    38.155911974    2.78
104.7676745    38.150867723    2.781
104.7538193    38.145822391    2.782
104.73996708    38.14077814    2.783
104.72611371    38.135733473    2.784
104.71226034    38.130688807    2.785
104.69841406    38.125646719    2.786
104.68455064    38.120598394    2.787
104.6707103    38.115558469    2.788
104.65685579    38.110513388    2.789
104.64301842    38.105474545    2.79
104.62916391    38.100429464    2.791
104.61532243    38.095389125    2.792
104.60148094    38.090348785    2.793
104.58762827    38.085304371    2.794
104.57378267    38.080262535    2.795
104.5599501    38.07522544    2.796
104.54610748    38.070184686    2.797
104.53227079    38.065146095    2.798
104.51843708    38.060108585    2.799
104.50459035    38.055066335    2.8
104.49074659    38.050025167    2.801
104.47691585    38.044988739    2.802
104.46308807    38.039953393    2.803
104.44925025    38.034914388    2.804
104.43542134    38.029878627    2.805
104.42157941    38.024838126    2.806
104.40775051    38.019802366    2.807
104.3939216    38.014766606    2.808
104.38009863    38.009733009    2.809
104.36627269    38.004698332    2.81
104.35243968    37.999661076    2.811
104.33861671    37.99462748    2.812
104.32479558    37.989594551    2.813
104.3109685    37.984559459    2.814
104.29713732    37.979522871    2.815
104.28332624    37.974493602    2.816
104.26949803    37.969458096    2.817
104.2556769    37.964425169    2.818
104.24186468    37.959395486    2.819
104.22804949    37.954364722    2.82
104.21422722    37.94933138    2.821
104.20041797    37.94430278    2.822
104.18660462    37.939272683    2.823
104.17278829    37.934241506    2.824
104.15897791    37.929212492    2.825
104.14516752    37.924183478    2.826
104.13135714    37.919154464    2.827
104.11754973    37.914126533    2.828
104.10373524    37.909096024    2.829
104.08993378    37.904070256    2.83
104.07612226    37.89904083    2.831
104.06232376    37.894016144    2.832
104.04852824    37.888992541    2.833
104.0347197    37.883964197    2.834
104.0209171    37.878938017    2.835
104.00712044    37.873914    2.836
103.99332081    37.868888903    2.837
103.9795141    37.863861228    2.838
103.96572338    37.858839375    2.839
103.95192262    37.853813864    2.84
103.93813899    37.848794591    2.841
103.92433823    37.843769081    2.842
103.91055346    37.838749394    2.843
103.89675864    37.833726048    2.844
103.88296382    37.828702703    2.845
103.86917495    37.823681522    2.846
103.85538905    37.818661422    2.847
103.84161022    37.813643901    2.848
103.82782433    37.808623803    2.849
103.81403843    37.803603705    2.85
103.80025436    37.798584275    2.851
103.78647144    37.793565261    2.852
103.77269446    37.78854841    2.853
103.7589104    37.783528981    2.854
103.74513342    37.778512132    2.855
103.73135531    37.773494868    2.856
103.71758724    37.768481264    2.857
103.7038121    37.763465084    2.858
103.69003102    37.758446741    2.859
103.67625475    37.753430147    2.86
103.66248966    37.748417628    2.861
103.64871042    37.743399954    2.862
103.63495128    37.738389599    2.863
103.62118209    37.733375586    2.864
103.60741176    37.728361159    2.865
103.59364852    37.723349311    2.866
103.57988117    37.718335967    2.867
103.5661209    37.713325202    2.868
103.55235949    37.708314023    2.869
103.5386022    37.703304341    2.87
103.5248408    37.698293164    2.871
103.51108945    37.693285647    2.872
103.49732098    37.688271894    2.873
103.4835726    37.68326546    2.874
103.46981007    37.678253872    2.875
103.45606056    37.673247026    2.876
103.44230398    37.668237603    2.877
103.42855859    37.663232254    2.878
103.41480909    37.658225411    2.879
103.40106142    37.653219235    2.88
103.38730782    37.648210898    2.881
103.37356016    37.643204725    2.882
103.35981958    37.63820113    2.883
103.34607193    37.633194958    2.884
103.33233432    37.628192447    2.885
103.31859261    37.623188441    2.886
103.30485799    37.618187013    2.887
103.29111218    37.613181513    2.888
103.27738053    37.608181169    2.889
103.26364477    37.603179331    2.89
103.24990491    37.598175997    2.891
103.23617921    37.59317782    2.892
103.22243935    37.588174488    2.893
103.20870955    37.583174817    2.894
103.19498272    37.578176229    2.895
103.18125589    37.573177642    2.896
103.16752793    37.568178642    2.897
103.15380408    37.563181139    2.898
103.14007613    37.558182141    2.899
103.12636827    37.553190463    2.9
103.11263325    37.54818889    2.901
103.09892129    37.543195718    2.902
103.08519632    37.538197807    2.903
103.07147432    37.533200978    2.904
103.05775827    37.528206315    2.905
103.04404519    37.523212734    2.906
103.03032915    37.518218073    2.907
103.01661608    37.513224494    2.908
103.00290598    37.508231999    2.909
102.98919589    37.503239505    2.91
102.97548877    37.498248094    2.911
102.96177457    37.493254107    2.912
102.94807751    37.488266358    2.913
102.93436926    37.483274537    2.914
102.92066102    37.478282718    2.915
102.90695986    37.473293477    2.916
102.89326464    37.468306401    2.917
102.87955939    37.463315668    2.918
102.86587012    37.458330758    2.919
102.85216784    37.453341109    2.92
102.83847561    37.44835512    2.921
102.82477631    37.443366556    2.922
102.81108592    37.438381239    2.923
102.7973896    37.433393759    2.924
102.78370927    37.428412103    2.925
102.77002186    37.423427872    2.926
102.75633149    37.418442561    2.927
102.74264707    37.413459414    2.928
102.7289567    37.408474105    2.929
102.71527526    37.403492044    2.93
102.70159382    37.398509984    2.931
102.68791535    37.393529007    2.932
102.67423986    37.388549114    2.933
102.6605614    37.38356814    2.934
102.64687885    37.378585673    2.935
102.63320634    37.373606866    2.936
102.61953681    37.368629143    2.937
102.60586728    37.363651421    2.938
102.59219068    37.358671125    2.939
102.57852413    37.353694488    2.94
102.56486056    37.348718935    2.941
102.55118992    37.343740807    2.942
102.53751928    37.33876268    2.943
102.52386166    37.333789296    2.944
102.51020108    37.328814832    2.945
102.49653937    37.323839956    2.946
102.48287766    37.318865082    2.947
102.46922304    37.313892787    2.948
102.45556134    37.308917916    2.949
102.44191861    37.303949952    2.95
102.42825989    37.298976167    2.951
102.41461009    37.29400563    2.952
102.40095436    37.28903293    2.953
102.38729863    37.284060232    2.954
102.37365181    37.279090783    2.955
102.36000501    37.274121335    2.956
102.34635821    37.269151888    2.957
102.33271438    37.264183526    2.958
102.31907056    37.259215165    2.959
102.30544274    37.254252629    2.96
102.2918019    37.249285355    2.961
102.27815696    37.244316587    2.962
102.2645191    37.239350398    2.963
102.25088719    37.234386375    2.964
102.23725939    37.229423849    2.965
102.22362339    37.224458335    2.966
102.2099874    37.219492824    2.967
102.19636853    37.214533549    2.968
102.18272957    37.209566959    2.969
102.16910958    37.204607277    2.97
102.15547955    37.199643938    2.971
102.14186367    37.194685753    2.972
102.12824667    37.189727158    2.973
102.11461963    37.184764907    2.974
102.10099556    37.17980374    2.975
102.08737448    37.174843658    2.976
102.07376344    37.169887236    2.977
102.06014944    37.164929733    2.978
102.04654139    37.159974397    2.979
102.03292329    37.155015405    2.98
102.01931822    37.150061156    2.981
102.00572024    37.145109484    2.982
101.992104    37.140151169    2.983
101.97849895    37.135196926    2.984
101.96489575    37.130243356    2.985
101.95129665    37.125291282    2.986
101.93769346    37.120337716    2.987
101.92410032    37.115387811    2.988
101.91049416    37.110433166    2.989
101.89690401    37.105484348    2.99
101.88330976    37.100534038    2.991
101.86971962    37.095585223    2.992
101.8561224    37.090633835    2.993
101.84253114    37.085684614    2.994
101.82893692    37.080734313    2.995
101.81535869    37.075789837    2.996
101.80177339    37.070842788    2.997
101.78818923    37.065896151    2.998
101.77460692    37.060950189    2.999
101.76102871    37.056005722    3
101.74743934    37.051057189    3.001
101.73386709    37.046114891    3.002
101.72028778    37.041170021    3.003
101.70672149    37.036229893    3.004
101.69314516    37.03128611    3.005
101.67957181    37.026343411    3.006
101.66600144    37.021401797    3.007
101.65243518    37.016461679    3.008
101.63887784    37.011524811    3.009
101.62530042    37.006580629    3.01
101.61173602    37.00164119    3.011
101.5981787    36.996704329    3.012
101.58462437    36.991768553    3.013
101.57105701    36.986828038    3.014
101.55749859    36.981890774    3.015
101.54394612    36.976955678    3.016
101.53039775    36.972022078    3.017
101.51683525    36.967083328    3.018
101.50328987    36.962150815    3.019
101.48973743    36.957215729    3.02
101.47619801    36.952285386    3.021
101.46265153    36.947352471    3.022
101.44910618    36.942419967    3.023
101.43555858    36.937486647    3.024
101.42201509    36.932554822    3.025
101.40848166    36.927626657    3.026
101.39494115    36.92269592    3.027
101.38140066    36.917765185    3.028
101.36787022    36.912838111    3.029
101.35433569    36.907909547    3.03
101.34080116    36.902980986    3.031
101.32727669    36.898056086    3.032
101.31374218    36.89312753    3.033
101.30021362    36.888201142    3.034
101.28669158    36.883277128    3.035
101.27316955    36.878353116    3.036
101.2596505    36.87343019    3.037
101.24612792    36.86850598    3.038
101.23260888    36.863583059    3.039
101.21908985    36.858660141    3.04
101.20557622    36.853739187    3.041
101.19206316    36.848818441    3.042
101.1785501    36.843897697    3.043
101.16504597    36.838980205    3.044
101.15153237    36.834059263    3.045
101.13803179    36.829143064    3.046
101.1245182    36.824222127    3.047
101.1110141    36.819304646    3.048
101.09752304    36.814391909    3.049
101.08401839    36.80947423    3.05
101.07051673    36.804557637    3.051
101.05702513    36.799644704    3.052
101.04352702    36.794729404    3.053
101.03003486    36.789816273    3.054
101.01654569    36.784904228    3.055
101.00305058    36.77999002    3.056
100.9895644    36.775079064    3.057
100.97607228    36.770165944    3.058
100.96258612    36.765254994    3.059
100.94910592    36.760346214    3.06
100.93562684    36.755437844    3.061
100.92214312    36.750527782    3.062
100.90866703    36.745620502    3.063
100.89519932    36.740716271    3.064
100.88171915    36.735807505    3.065
100.86824495    36.730900909    3.066
100.85477429    36.725995603    3.067
100.84130661    36.721091384    3.068
100.82783186    36.716184593    3.069
100.81437071    36.711282751    3.07
100.80090603    36.706379624    3.071
100.78744136    36.7014765    3.072
100.77397614    36.696573176    3.073
100.7605139    36.691670938    3.074
100.74706172    36.686772361    3.075
100.73360601    36.6818725    3.076
100.72015328    36.676973726    3.077
100.70669759    36.672073871    3.078
100.69325139    36.667177474    3.079
100.67979813    36.662278505    3.08
100.66635846    36.657384485    3.081
100.65290819    36.652486607    3.082
100.63946798    36.647592389    3.083
100.62602778    36.642698175    3.084
100.61257754    36.637800306    3.085
100.5991433    36.632908266    3.086
100.58570256    36.628013858    3.087
100.57227486    36.623124194    3.088
100.55883414    36.618229793    3.089
100.54540236    36.613338646    3.09
100.53198119    36.608451363    3.091
100.51854292    36.603557852    3.092
100.50511767    36.598669085    3.093
100.49169597    36.593781609    3.094
100.47827967    36.5888961    3.095
100.46486153    36.584009918    3.096
100.45143223    36.579119675    3.097
100.43801652    36.574234379    3.098
100.42459672    36.569347597    3.099
100.41118345    36.56446319    3.1
100.39777372    36.559580072    3.101
100.384364    36.554696958    3.102
100.37095484    36.549814051    3.103
100.35755351    36.544933992    3.104
100.34415033    36.540053259    3.105
100.33074307    36.53517104    3.106
100.31733935    36.530290111    3.107
100.30394159    36.525411353    3.108
100.29054086    36.520531516    3.109
100.27715261    36.51565622    3.11
100.26375488    36.510777473    3.111
100.25035958    36.50589961    3.112
100.23696838    36.501023241    3.113
100.22358668    36.49615033    3.114
100.21019495    36.491273766    3.115
100.19680917    36.486399372    3.116
100.18342341    36.481524983    3.117
100.17004119    36.476651884    3.118
100.15666847    36.471782243    3.119
100.14328627    36.466909152    3.12
100.12991302    36.462039316    3.121
100.1165433    36.45717077    3.122
100.10316002    36.452297284    3.123
100.08979386    36.447430033    3.124
100.0764266    36.44256238    3.125
100.06306343    36.43769622    3.126
100.04969675    36.432828777    3.127
100.03632543    36.427959646    3.128
100.02297123    36.42309675    3.129
100.00960402    36.418229116    3.13
99.996256348    36.413368599    3.131
99.98289809    36.408504225    3.132
99.969550443    36.403643715    3.133
99.956188673    36.398778062    3.134
99.942836958    36.393916071    3.135
99.929495852    36.389057943    3.136
99.91614658    36.384196841    3.137
99.902801407    36.379337233    3.138
99.88945569    36.374477425    3.139
99.876113517    36.369618909    3.14
99.862770798    36.364760194    3.141
99.849441668    36.359906426    3.142
99.836101949    36.355048804    3.143
99.822765775    36.350192471    3.144
99.809433144    36.34533743    3.145
99.796109457    36.340485645    3.146
99.782779826    36.335631696    3.147
99.769455607    36.330779717    3.148
99.756128421    36.325926658    3.149
99.74281129    36.32107726    3.15
99.729487659    36.316225496    3.151
99.716172974    36.311376989    3.152
99.702852343    36.306526317    3.153
99.689535257    36.301676936    3.154
99.676216519    36.296826953    3.155
99.662915454    36.291983406    3.156
99.649603804    36.287136004    3.157
99.636288632    36.28228732    3.158
99.62299058    36.27744487    3.159
99.609681943    36.272598566    3.16
99.596386338    36.267757007    3.161
99.583080702    36.262911795    3.162
99.569782142    36.25806916    3.163
99.556492529    36.253229783    3.164
99.543193439    36.248386955    3.165
99.52990385    36.243547587    3.166
99.516617804    36.238709509    3.167
99.503321174    36.233867577    3.168
99.490038131    36.229030592    3.169
99.476758078    36.224194697    3.17
99.463474505    36.219357519    3.171
99.450187413    36.21451906    3.172
99.436920417    36.209687919    3.173
99.423636327    36.204850554    3.174
99.410365824    36.200018135    3.175
99.397091248    36.195184234    3.176
99.383810174    36.190347967    3.177
99.370545665    36.185517731    3.178
99.357281168    36.1806875    3.179
99.344016131    36.175857072    3.18
99.33075519    36.171028136    3.181
99.317489625    36.166197517    3.182
99.304228156    36.161368388    3.183
99.29097619    36.15654272    3.184
99.277720705    36.151715771    3.185
99.264471742    36.146891197    3.186
99.251216282    36.142064256    3.187
99.237970324    36.137240776    3.188
99.224724931    36.132417502    3.189
99.211478446    36.12759383    3.19
99.198235506    36.122771449    3.191
99.184989047    36.117947786    3.192
99.171756173    36.113129071    3.193
99.158512719    36.108306503    3.194
99.145275789    36.10348631    3.195
99.132045933    36.098668694    3.196
99.11881256    36.093849796    3.197
99.105582179    36.089031988    3.198
99.092364832    36.084218927    3.199
99.079126864    36.079398356    3.2
99.065906012    36.074584019    3.201
99.052685174    36.069769686    3.202
99.039470859    36.064957728    3.203
99.026245965    36.060141919    3.204
99.013031125    36.05532977    3.205
98.99981983    36.050518913    3.206
98.986605017    36.045706774    3.207
98.973393197    36.040895725    3.208
98.960187902    36.036087052    3.209
98.94697964    36.031277299    3.21
98.933783862    36.026472092    3.211
98.920578606    36.021663433    3.212
98.907378775    36.01685675    3.213
98.894183587    36.012051758    3.214
98.880980802    36.007243999    3.215
98.867788072    36.002439902    3.216
98.854598336    35.997636895    3.217
98.841408064    35.992833693    3.218
98.828225416    35.988033267    3.219
98.81502866    35.983227704    3.22
98.80184549    35.978427088    3.221
98.788665314    35.973627562    3.222
98.775488132    35.968829126    3.223
98.762307983    35.964029611    3.224
98.74913381    35.959232271    3.225
98.7359602    35.954435136    3.226
98.722789036    35.949638892    3.227
98.709621415    35.944843938    3.228
98.696453809    35.940048989    3.229
98.683279156    35.935251475    3.23
98.6701246    35.930461279    3.231
98.656965979    35.925669602    3.232
98.643807921    35.92087813    3.233
98.630646347    35.916085379    3.234
98.617494828    35.911296288    3.235
98.604338696    35.906505518    3.236
98.591197246    35.901720094    3.237
98.578035181    35.896927164    3.238
98.564893211    35.89214155    3.239
98.551753689    35.887356829    3.24
98.538604688    35.882568655    3.241
98.525468177    35.87778503    3.242
98.512325716    35.872999238    3.243
98.499189233    35.868215623    3.244
98.486063353    35.863435869    3.245
98.472926352    35.858652066    3.246
98.459792895    35.853869552    3.247
98.446662982    35.84908833    3.248
98.433546653    35.844312054    3.249
98.420422732    35.839533013    3.25
98.407292316    35.834751607    3.251
98.394171954    35.829973863    3.252
98.38105106    35.825195924    3.253
98.367939675    35.820421448    3.254
98.354828851    35.815647177    3.255
98.341711531    35.81087054    3.256
98.328604265    35.806097565    3.257
98.315489411    35.801321825    3.258
98.302391669    35.796552318    3.259
98.289283355    35.791778961    3.26
98.276179132    35.787007093    3.261
98.263083324    35.78223829    3.262
98.249981567    35.77746732    3.263
98.236886337    35.772698727    3.264
98.223787593    35.767928854    3.265
98.210705961    35.763165213    3.266
98.19762027    35.758400094    3.267
98.184534594    35.75363498    3.268
98.171441876    35.748867302    3.269
98.158359214    35.744103286    3.27
98.145283078    35.739341646    3.271
98.132200447    35.734577641    3.272
98.119124342    35.729816012    3.273
98.106051235    35.725055476    3.274
98.092978144    35.720294945    3.275
98.079908052    35.715535506    3.276
98.066840959    35.710777158    3.277
98.053774426    35.706019016    3.278
98.040707363    35.70126068    3.279
98.02764439    35.696503833    3.28
98.014583326    35.691747681    3.281
98.001529333    35.686994105    3.282
97.988471829    35.68223925    3.283
97.975427907    35.677489341    3.284
97.962376946    35.672736868    3.285
97.949322472    35.667983117    3.286
97.936278054    35.663233027    3.287
97.923230124    35.658481658    3.288
97.91018221    35.653730295    3.289
97.897140823    35.648981309    3.29
97.884111931    35.644236873    3.291
97.871071121    35.639488097    3.292
97.858039277    35.634742586    3.293
97.845003922    35.629995797    3.294
97.831971568    35.6252501    3.295
97.818946828    35.620507176    3.296
97.805913963    35.615761293    3.297
97.792898207    35.61102164    3.298
97.779869445    35.606277251    3.299
97.76685725    35.601538895    3.3
97.753834489    35.596796692    3.301
97.740824767    35.592059237    3.302
97.727805566    35.587318329    3.303
97.714789366    35.582578515    3.304
97.701785663    35.577843251    3.305
97.688769496    35.573103449    3.306
97.675766368    35.568368395    3.307
97.662766242    35.563634434    3.308
97.649769659    35.558901763    3.309
97.636769024    35.554167617    3.31
97.623775459    35.549436045    3.311
97.610788423    35.54470685    3.312
97.597794349    35.539975093    3.313
97.584807346    35.535245911    3.314
97.571823345    35.530517822    3.315
97.558835834    35.525788454    3.316
97.545844812    35.521057809    3.317
97.532867373    35.516332109    3.318
97.519895921    35.51160859    3.319
97.506917974    35.506882705    3.32
97.493943571    35.502158111    3.321
97.480968643    35.497433326    3.322
97.468003229    35.492712005    3.323
97.455035389    35.487989801    3.324
97.442067024    35.483267406    3.325
97.429108174    35.478548475    3.326
97.416146355    35.473828464    3.327
97.40318754    35.469109546    3.328
97.390232267    35.464391918    3.329
97.377276472    35.4596741    3.33
97.36432422    35.454957572    3.331
97.35137497    35.450242137    3.332
97.338425739    35.445526709    3.333
97.325487102    35.44081514    3.334
97.312543877    35.436101899    3.335
97.299598224    35.431387774    3.336
97.286661005    35.426676721    3.337
97.273731936    35.421968635    3.338
97.260788241    35.417255223    3.339
97.247858668    35.412546953    3.34
97.234925586    35.407837406    3.341
97.221999033    35.403130237    3.342
97.209074945    35.398423965    3.343
97.196157926    35.393720267    3.344
97.183227901    35.389011833    3.345
97.170313904    35.384309235    3.346
97.157393951    35.37960447    3.347
97.144479451    35.374901689    3.348
97.131569033    35.370200395    3.349
